INSERT
aaronic 亚伦的
concernedly 担着心
concernful 重要的
concerning 关于
concerto 协奏曲
concessible 可让步的
concession 让步
concessively 让步地
conchoidal 贝壳状的
conciliar 会议的
conciliator 抚慰者
concisely 简明地
concluding 结束的
conclusively 最后地
concordance 和谐
concordant 协调的
concretely 具体地
concretization 具体化
concur 同时发生
condensation 浓缩
condensery 炼乳工厂
condenses 浓缩
condiment 调味品
condiments 调味品
conditionally 有条件地
condole 慰问
condom 避孕套
conducive 有益于
conductibility 传导性
conductible 可传导的
conduction 传导
conductive 传导的
condyle 骨节
confabulate 交谈
confabulator 闲谈者
confederation 联邦
conferrable 能授与的
conferrale 授予
conferrer 授予者
confidence 信心
confidentiality 机密性
confidingly 信任地
confiscable 可没收的
conflagate 燃烧
conflate 合并
conflation 异文合并
confluence 汇合
confluent 汇合的
conformability 一致性
conformation 构造
congealer 冷藏器
congelation 冻结
congenetic 同源的
congested 拥挤的
congestive 充血的
conglomerate 聚结
congregate 聚集
congruent 适合的
conicoid 二次曲面
coniferae 松柏科
coniform 圆锥形的
conjugation 结合
conjunctive 连接的
conjunctly 接合
conjurer 魔术师
conjuror 魔术师
conkers 板栗游戏
connectedly 有关联地
connectible 可联结的
connectivity 连通性
connector 连接器
conniption 歇斯底里
connubiality 夫妇关系
conoid 劈锥曲面
conscientious 尽责的
conscientiously 良心上
conscription 征召
consecutively 连续地
consenescence 衰老
consenter 同意者
consenting 同意的
consequentially 必然地
considerably 相当地
consignable 可委托的
consignation 委托
consolidate 巩固
consoling 可安慰的
conspicuous 显著的
constipate 便秘
constipation 便秘
constrict 压缩
constructive 建设性的
constructively 建设性地
consular 领事的
consultative 咨询的
consumer 消费者
consuming 强烈的
consumingly 强烈地
contadina 农妇
contadino 农夫
containership 货柜船
contaminate 污染
conte 小故事
contemptible 可鄙的
contemptuously 轻蔑地
contignation 架台
continentality 陆性率
continuable 可持续的
continuative 继续的
contractual 契约的
contracture 挛缩
contradistinguish 对照
contrafluxion 局部充血
contraindication 禁忌征候
contranatant 逆流的
contrapuntal 对位的
contrastive 对比的
contrastively 对比地
controlling 控制
controlment 控制
convalescence 逐渐康复
conveniently 便利地
conversable 谈得来的
conversational 会话地
conversazione 座谈会
converter 转炉
convoke 召集
convulsively 痉挛性地
cooer 鸠鸽
cookbook 食谱
cookery 烹调术
cookies 饼干
cooking 烹饪
cookoff 烹饪比赛
cookroom 厨房
cookshack 灶棚
cookstove 烹调用炉
cooktop 炉灶面
cooky 饼干
cooler 冷却器
coolish 微凉的
cooly 苦力
coom 煤烟
cooncan 一种牌戏
cooper 制桶工人
cooperationist 合作论者
copacetic 极好的
copenhagen 哥本哈根
copilot 副驾驶员
copper 铜警察
copperas 绿矾
coppering 铜包皮
copperize 镀铜
coppice 矮林
copra 干椰子肉
coprecipitation 一起沉淀
coproduct 副产物
coprolite 粪化石
coprostasis 便秘
copter 直升机
copulatory 交配的
copybook 习字簿
copygraph 油印机
coracle 小圆舟
coralloid 珊瑚状的
corbeil 花篮装饰
cordate 心脏形的
cordelle 纤绳
cordiform 心形的
cordis 心脏的
cordite 无烟火药
corea 韩国
corfam 人造皮
corinthian 科林斯式
corium 真皮
corkage 拔瓶塞
cormophyte 茎叶植物
corncrake 秧鸡
cornemuse 风笛
cornetto 小铜喇叭
cornflakes 脆玉米片
corniced 有飞檐的
cornloft 谷类仓库
cornstarch 玉米淀粉
cornu [解]角
cornual 角的
cornus 山茱萸
corolla 花冠
corollate 有花冠的
corolliform 花冠状的
coronate 加冕
coronation 加冕礼
coroner 验尸官
corp 公司
corpman 看护兵
corposant 放电光球
corpse 尸体
corpselike 似尸体的
corpulence 肥胖
corrade 侵蚀
corrasion 侵蚀
corrasive 侵蚀的
corrida 斗牛
corridor 走廊
corrigendum 勘误表
corroborator 确证者
corvee 强迫劳役
corvette 轻巡洋舰
corvus 乌鸦座
cosmic 宇宙的
cosmism 宇宙论
cosmographic 宇宙学的
cosmonette 女宇航员
cosovereignty 共同主权
cossack 哥萨克人
cossette 甜菜丝
cotemporaneous 同时代的
cotidal 同潮的
cottonize 使成绵状
cottonseed 棉籽
cotyloid 杯状的
coulometry 电量分析
coulter 犁刀
countability 可数性
countdown 倒数计秒
counteraccusation 反控
counterappeal 抗告
counterattraction 反引力
counterblow 反击
countercoup 反政变
counterdeclaration 反对声明
counterdeed 反对证书
counterdrive 反强攻
counterdrug 解瘾药
counterevidence 反证
counterexample 反例
counterfeiting 伪造
counterflow 逆流
counterglow 对日
countermovement 反向运动
counterpiston 逆活塞
counterpose 使对立
counterpressure 反压力
counterpropaganda 反宣传
counterproposal 反建议
counterpull 反引力
counterreaction 逆反应
counterrevolution 反革命
countersea 逆浪
counterspy 反间谍
countertendency 反倾向
counterterror 反暴行
counterthrust 反击
countertide 逆潮
counterweigh 使平衡
counting 计算
countless 无数的
countryroad 乡间道路
countrywide 全国的
county 县郡
courageously 勇敢地
couteau 双刃大刀
covent 女修道院
coverage 复盖
coverer 包装工人
covering 遮盖物
cowardly 胆怯地
cowgirl 女牛仔
cowheel 炖蹄筋
cowherd 牧牛者
cowled 带头巾的
cowlike 似母牛的
coxy 骄傲的
cozen 欺骗瞒
crabbery 捕蟹处
crabgrass 一种杂草
crabhole 蟹穴
crabman 贩蟹者
crackless 无裂痕的
cracksman 盗贼
craftily 狡猾地
craftiness 狡猾
crag 峭壁
cram 填满
cramoisy 深红色的
crane 起重机
craniad 向头部
craniate 有头盖的
cranked 有曲柄的
crapy 皱褶的
crashworthiness 防撞性
crashworthy 防撞的
crassamentum 半凝之血
crater 弹坑
craterwall 火口壁
craving 渴望
crawly 悚然的
crayonist 蜡笔画家
craze 狂热
creamometer 乳脂计
created 创造的
creatinuria 肌氨酸尿
creationary 创造性的
creative 创造性的
credence 信任
credibility 可信性
creditability 可信性
creditable 可信的
creditor 债权人
credulous 轻信的
creed 信条
creeper 爬行者
creese 短剑
cremains 骨灰
cremation 烧火葬
crenation 圆锯齿状
crenature 圆锯齿
crenelet 小枪眼
creophagous 食肉的
creophagy 食肉
crepehanger 悲观者
crescendo 声音渐增
cressida 克雷西达
cretinous 白痴病的
cretonne 印花棉布
crevette 虾
creviced 有裂缝的
cribble 粗筛
cribwork 迭状木框
cricoid 轮形的
crikey 唉呀!
criminalistics 刑事学
criminological 犯罪学的
crinoidea 海百合纲
crispin 鞋匠
critique 批评
croaky 哇哇叫的
crocked 喝醉了的
crocodilian 鳄鱼
cromlech 环状列石
cronyism 任用亲信
crookback 驼背
crool 发咕咕声
crossarm 横木
crossbedded 交错层的
crossbow 石弓弩
crossbowman 弩手
crosslet 小十字形
crossrail 横木
crosstab 交叉表
crosstie 枕木
crossword 纵横字谜
crossyard 横桁
crownland 王室领地
crozier 牧杖
cruciform 十字形的
crud 脏家伙
cruet 调味瓶
cruiser 巡洋舰
cruising 巡航的
crummy 丰满的
cruor 凝血
cruse 壶
crushing 决定性的
crux 症结
cryochemistry 低温化学
cryogenic 低温学的
cryogenics 低温学
cryolite 冰晶石
cryophyte 冰雪植物
cryoprotective 防冷冻的
cryopump 低温泵
cryosurgery 冷冻手术
cryotherapy 冷冻疗法
cryptoclastic 隐屑的
cryptogam 隐花植物
cryptogram 密码
cryptosystem 密码系统
crystalline 水晶的
crystallite 微晶
crystallitic 微晶的
crystallitis 晶状体炎
crystallizability 可结晶性
crystallizable 可结晶的
crystallization 结晶化
crystallize 明确
crystallography 结晶学
crytic 隐含的
ctenidium 栉鳃
ctenophore 栉水母
cubanize 使古巴化
cubature 求容积法
cubby 小房间
cubicle 小卧室
cubiform 立方形的
cubism 立体派
cubit 腕尺
cuchifrito 炸肉丁
cuculliform 兜帽状的
cucumiform 黄瓜状的
cuddle 拥抱
cuffy 黑人
culicid 蚊科的
culicine 库蚊的
cull 精选
cullet 碎玻璃
culminate 达到顶点
culmination 顶点
culottes 女用裙裤
culprit 犯人
cultch 贝壳屑
cultural 文化的
culvert 管路
cumber 阻碍
cumquat 金橘
cumulation 累积
cumulative 累积的
cumulocirrus 卷积云
cumulonimbus 积雨云
cumulostratus 层积云
cumulous 积云状的
cuneal 楔形的
cuneate 楔形的
cuneatic 楔形的
cunner 青鲈
cupful 满杯
cupola 炮塔
cupriferous 含铜的
cupronickel 白铜
cuprum 铜
curatorial 医药的
curb 路边
curculio 象鼻虫
curdle 凝固
curial 元老院的
curiosity 好奇心
curiously 好奇地
curlew 一种鸟
curlpaper 卷发纸
curlycue 花体
currency 流通
curricula 课程
curricular 课程的
curriculum 课程
cursor 指针
curt 简略的
curtainfall 幕落
curtana 无尖刀
curviform 弯曲的
curving 弯曲的
curvous 弯曲的
cushat 斑鸠
cuspid 犬齿牙
cuspidor 痰盂
custodian 管理人
custody 保官
customarily 通常
customer 消费者
customhouse 海关
cuticle 表皮
cuticolor 肉色的
cuticular 表皮的
cutlery 餐具
cuttable 可缩减的
cuttie 海雀
cuttloefish 乌贼
cutty 短的
cyaneous 深蓝色的
cyanogen [化]氰
cyanogenetic 生氰的
cyanogenic 生氰的
cybernatic 控制论的
cybernation 自动控制
cybernetic 控制论的
cybernetical 控制论的
